Candidate Id,Employee Id,First Name,Middle Name,Last Name,DegreePercentage,12th/DiplomaPercentage,SSCPercentage,University Name,Native State,Background(CS\NCS),Industrial Training,TrainingExam1Percentage,Exam1Grade,TrainingExam2Percentage,Exam2Grade,IntoProduction,Channel
C0830,E0830,Suchithra,,Gandhi,80.69,95.58,93.81,ANU  ,Tamil Nadu,CS,N,85,A,83,A,1,Online
C0831,,Sreya,,Gandhi,72.95,90,80.2,ANU  ,Tamil Nadu,CS,N,,,,,,Online
C0832,,Vedha,Priya,Ganesan,80.8,95.5,96,ANU  ,Tamil Nadu,CS,N,,,,,,Referral
C0833,,Sivaranjani,,Ganesan,82.42,96.16,84.2,ANU  ,Tamil Nadu,CS,N,,,,,,Online
C0834,E0834,Ilampirai,,Ganesan,87.2,94.58,93.8,ANU  ,Tamil Nadu,CS,N,92,A,94,A,1,Referral
C0835,,Niranjani,,Ganesan,69.22,87.25,86.18,ANU  ,Tamil Nadu,CS,N,,,,,,Referral
C0836,E0836,Dinesh,Babu,Ganesh,82.41,92.5,92.8,ANU  ,Tamil Nadu,CS,N,93,A,86,A,1,Walk in Interviews
C0837,,Indirai,,Ganesh,81.38,93.25,88,ANU  ,Tamil Nadu,CS,N,,,,,,Online
C0838,E0838,Premalatha,Soreka,Ganesh,84.9,95.42,90.63,ANU  ,Tamil Nadu,CS,N,94,A,93,A,1,Campus Recruitment
,,Abirami,Mookambikai,Gangadhar,90.56,96.33,90.8,ANU  ,Tamil Nadu,,,,,,,,Referral
C0840,E0840,Sindhu,,Gangadhar,76.54,87.5,80.87,ANU  ,Tamil Nadu,CS,N,92,A,88,A,1,Campus Recruitment
C0841,E0841,Pavithra,,Gangadharan,79.3,94.75,88.5,ANU  ,Tamil Nadu,CS,N,96,A,92,A,1,Campus Recruitment
,,Sairam,,Gangadurai,77.2,90.1,86.45,ANU  ,Tamil Nadu,,,,,,,,Campus Recruitment
C0843,E0843,Amritha,,Gangatharan,86.67,96,95.2,PUNEU,Tamil Nadu,CS,N,76,B+,83,A,1,Referral
C0844,E0844,Bharathwaj,Radhakrishnan,Gangil,73.06,92.3,81.3,ANU  ,Tamil Nadu,CS,N,75,B+,84,A,1,Campus Recruitment
C0845,,Viswesh,,Ganguli,74.4,90.66,81.9,ANU  ,Tamil Nadu,CS,N,,,,,,Walk in Interviews
C0846,E0846,Satheeshraj,,Ganguly,74.81,89.58,90.09,ANU  ,Tamil Nadu,CS,N,83,A,87,A,1,Walk in Interviews
C0847,,Vikraman,Radha,Ganjigatti,80.51,96,88,ANU  ,Tamil Nadu,CS,N,,,,,,Walk in Interviews
C0848,E0848,Nitya,V K,Ganmoor,82.9,96.3,93,PUNEU,Tamil Nadu,CS,N,96,A,91,A,1,Campus Recruitment
,,Sivaranjani,,Ganta,80.6,96.1,92.8,ANU  ,Tamil Nadu,,,,,,,,Walk in Interviews
,,Sowmya,,Ganta,83.08,96,90.18,ANU  ,Tamil Nadu,,,,,,,,Referral
C0851,,Priyadharshini,,Ganti,81.37,93.08,86.45,ANU  ,Tamil Nadu,CS,N,,,,,,Online
,,Siva,,Garg,78.22,96,91.27,PUNEU,Tamil Nadu,,,,,,,,Online
C0853,,Hemil,Jatin,Garg,66.66,83.33,79.2,BOMU ,Maharashtra,CS,N,,,,,,Online
,,Swapnil,Vasant,Garg,66.82,81.33,87.46,BOMU ,Maharashtra,,,,,,,,Referral
,,Reuben,Lucas,Garg,68.88,88,90.13,BOMU ,Maharashtra,,,,,,,,Online
,,Mihir,Ajit,Garg,65.45,91.17,90.66,BOMU ,Maharashtra,,,,,,,,Referral
C0857,E0857,Srushti,Mukesh,Garg,59.71,86.67,86.4,BOMU ,Maharashtra,CS,N,90,A,93,A,1,Online
,,Sriram,,Garg,69.08,80.83,78.93,BOMU ,Maharashtra,,,,,,,,Referral
C0859,E0859,Ashish,Laxminiwas,Garg,58.68,83.33,82.53,BOMU ,Maharashtra,CS,N,81,A,80,A,1,Campus Recruitment
C0860,,Pratik,Shreeram,Garg,55.74,71.33,74.66,BOMU ,Maharashtra,CS,N,,,,,,Online
C0861,E0861,Melroy,Noel,Garimella,73,85.5,85.46,BOMU ,Maharashtra,CS,N,99,A,91,A,1,Campus Recruitment
,,Manjusha,Venugopalan,Gatti,61.66,84.83,87.46,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
C0863,,Divya,Rajagopal,Gattupalli,61.84,80.67,87.06,BOMU ,Maharashtra,CS,N,,,,,,Referral
,,Pooja,Balachandran,Gaur,58.2,81.17,88.88,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
,,Ashish,Ashok,Gaur,63.54,85.17,86.13,BOMU ,Maharashtra,,,,,,,,Online
,,George,,Gaur,65.64,83.33,88.33,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
C0867,E0867,Nikhil,Vishram,Gaurav,62.2,90,88.66,BOMU ,Maharashtra,CS,N,95,A,90,A,1,Referral
C0868,E0868,Vishal,Shashank,Gautam,58.8,83.4,87,BOMU ,Maharashtra,CS,N,84,A,87,A,1,Campus Recruitment
C0869,,Sanyukta,Sunil,Gawade,68,85.33,91.33,BOMU ,Maharashtra,CS,N,,,,,,Referral
C0870,E0870,Ravi,,Gawade,55.8,80.33,80.66,BOMU ,Maharashtra,CS,N,60,C,63,C,0,Campus Recruitment
C0871,,Swati,Sanjay Kumar,Gayala,64.51,86,76.8,BOMU ,Maharashtra,CS,N,,,,,,Online
C0872,E0872,Mithlesh,,Gehlot,59.62,78.33,82.8,BOMU ,Maharashtra,CS,N,94,A,84,A,1,Campus Recruitment
,,Swarali,Satish,George,55.28,92.17,83.2,BOMU ,Maharashtra,,,,,,,,Referral
C0874,E0874,Jaykumar,Anilkumar,George,59.2,83.33,85.6,BOMU ,Maharashtra,CS,Y,89,A,65,B,1,Referral
C0875,E0875,Mihir,Narendra,George,63.66,86.5,80.93,BOMU ,Maharashtra,CS,N,93,A,69,B,1,Walk in Interviews
C0876,E0876,Sandhya,,George,58.2,90.17,90.2,BOMU ,Maharashtra,CS,N,91,A,84,A,1,Online
C0877,E0877,Akshatha,Vijay,George,67.77,88.83,87.86,BOMU ,Maharashtra,CS,N,94,A,80,A,1,Campus Recruitment
C0878,,Divya,Ramlal,George,59.28,88.83,86.53,BOMU ,Maharashtra,CS,N,,,,,,Referral
C0879,,Kanaad,Vijay,Gera,65.2,85,90.66,BOMU ,Maharashtra,CS,N,,,,,,Campus Recruitment
,,Reshma,,Ghai,61.48,83.5,85.86,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
,,Prashant,,Ghai,59.74,75.67,83.33,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
C0882,E0882,Sanket,Sudhir,Ghawate,59.57,86.83,92.13,BOMU ,Maharashtra,CS,N,84,A,67,B,1,Referral
C0883,,Hiren,Kiran,Ghildiyal,65.06,80.5,83.6,BOMU ,Maharashtra,CS,N,,,,,,Campus Recruitment
,,Rachana,Dileep,Ghildiyal,59.8,84.67,90.53,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
C0885,E0885,Keyur,Prashant,Gholap,55.2,80.83,85.6,BOMU ,Maharashtra,CS,N,60,C,63,C,0,Walk in Interviews
,,Anuja,Arun,Ghosh,62.77,88,83.86,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
C0887,,Apurva,Uday,Ghosh,70.77,91.17,94.4,BOMU ,Maharashtra,CS,N,,,,,,Campus Recruitment
C0888,E0888,Nirmalraj,,Ghosh,70.66,87,86.54,Autonomus,Tamil Nadu,NCS,N,96,A,76,B+,1,Walk in Interviews
C0889,,Sowmya,,Ghosh,73,72.7,77.2,ANU  ,Tamil Nadu,NCS,N,,,,,,Referral
C0890,,Hima,Bindhu,Ghosh,81.73,89.2,85,SKDU ,Andhra Pradesh,CS,Y,,,,,,Online
C0891,,Praveen,Kumar,Ghosh,71.67,95.3,92.17,SKDU ,Andhra Pradesh,CS,Y,,,,,,Online
,,Sushma,,Ghughtiyal,78.85,88.4,88.33,RGPRV,Andhra Pradesh,,,,,,,,Online
C0893,E0893,Hari Kiran,Reddy,Gianchandani,84.3,93.6,80.16,SKDU ,Andhra Pradesh,NCS,N,86,A,81,A,1,Campus Recruitment
C0894,E0894,Uday,Shankar,Giduturi,71.08,87.9,85.5,SKDU ,Andhra Pradesh,CS,N,84,A,80,A,1,Online
C0895,,Krishna,Chaitanya,Gill,76.43,91.4,85.17,SKDU ,Andhra Pradesh,CS,N,,,,,,Referral
,,Venkateswara,Reddy,Girdhar,73.73,94.3,87.66,SKDU ,Andhra Pradesh,,,,,,,,Online
,,Srinivas,Kasyap,Giridhar,79.6,93.2,88.33,SKDU ,Andhra Pradesh,,,,,,,,Referral
C0898,,Basheed,Ahmed,Girija,73.2,90.5,79.5,SKDU ,Andhra Pradesh,CS,Y,,,,,,Online
,,Sindhu,,GL,70.8,91,81.8,SKDU ,Andhra Pradesh,,,,,,,,Online
,,Lakshman,Singh,Gnanadoss,67.78,67.78,80.4,SKDU ,Andhra Pradesh,,,,,,,,Referral
C0901,E0901,Nagarjuna,,Gnanasekaran,76.13,79.4,70.3,SVU  ,Andhra Pradesh,NCS,N,82,A,76,B+,1,Campus Recruitment
C0902,E0902,Sujitha,Raga,Godara,79.5,96.2,90.5,SKDU ,Andhra Pradesh,CS,Y,93,A,85,A,1,Referral
,,Reshma,Banu,Godavarthi,74.39,78.6,75,SKDU ,Andhra Pradesh,,,,,,,,Campus Recruitment
,,Pavan,Kumar,Godavarthy,75.56,91,84.17,SKDU ,Andhra Pradesh,,,,,,,,Online
C0905,,Pawan,,Godhani,63.3,69.8,75.61,RGTUN,Andhra Pradesh,CS,N,,,,,,Walk in Interviews
C0906,E0906,Aparna,Saisree,Goel,80.17,94.2,87.66,SKDU ,Andhra Pradesh,CS,Y,87,A,84,A,1,Referral
C0907,E0907,Nikhil,Sudhakar,Goel,60.48,66.6,84,RGPRV,Madhya Pradesh,CS,Y,84,A,76,B+,1,Campus Recruitment
,,Neelesh,,Goel,65.1,78.6,79.8,RGPRV,Madhya Pradesh,,,,,,,,Referral
,,Neeraj,,Goel,62.14,88,81.8,RGPRV,Madhya Pradesh,,,,,,,,Campus Recruitment
C0910,E0910,Deepesh,,Goel,62.56,73.8,84,RGPRV,Madhya Pradesh,CS,Y,75,B+,81,A,1,Campus Recruitment
,,Pradeep,Kumar,Goel,73.69,80.5,72.5,OSMU ,Andhra Pradesh,,,,,,,,Campus Recruitment
C0912,E0912,Kiran,Kumar,Goel,67.39,89.8,76.66,VBU  ,Andhra Pradesh,NCS,N,95,A,81,A,1,Campus Recruitment
C0913,E0913,Santosh,Kumar,Goel,76.73,81.69,77.17,OSMU ,Andhra Pradesh,NCS,N,86,A,84,A,1,Referral
C0914,E0914,Salma,,Goel,80.1,88.49,62.4,OSMU ,Andhra Pradesh,NCS,N,91,A,85,A,1,Walk in Interviews
C0915,E0915,Geetha,Thanuja,Goel,88.65,91.13,71,SVU  ,Andhra Pradesh,NCS,N,91,A,84,A,1,Online
C0916,,Bhramara,,Goel,66.9,80.18,78,OSMU ,Andhra Pradesh,NCS,N,,,,,,Campus Recruitment
C0917,E0917,Vyshnavi,Reddy,Goel,81.1,80.6,81.2,KKTU ,Andhra Pradesh,NCS,N,60,C,63,C,0,Referral
C0918,E0918,Swetha,,Goel,3.95,87.55,84,Deemed University,Andhra Pradesh,NCS,N,84,A,68,B,1,Campus Recruitment
,,Gayatri,,Gogia,68.5,89.24,75.8,OSMU ,Andhra Pradesh,,,,,,,,Campus Recruitment
C0920,,Neerada,Parameswaran,Gogia,66.85,85,91.6,CALT ,Kerala,CS,N,,,,,,Campus Recruitment
,,Sajitha,,Gogoi,78.36,89.2,86.2,CALT ,Kerala,,,,,,,,Referral
C0922,,Kithu,Mary,Gokak,72.36,89.9,92.8,CALT ,Kerala,CS,N,,,,,,Campus Recruitment
,,Ajmal,Ali,Gokhale,63.6,82.4,89,JNTU ,Kerala,,,,,,,,Walk in Interviews
,,Praveen,Thrissur,Gokhale,71.69,87.8,84.6,CALT ,Kerala,,,,,,,,Walk in Interviews
C0925,E0925,Vidhya,,Gokhale,64.88,81,88.6,CALT ,Kerala,CS,N,83,A,83,A,1,Walk in Interviews
C0926,,Amala,,Goldwin,69.29,87.16,92.5,CALT ,Kerala,CS,N,,,,,,Campus Recruitment
,,Irene,,Goli,65.27,75.8,84.2,CALT ,Kerala,,,,,,,,Walk in Interviews
C0928,E0928,Arathi Lakshmi,M,Golsar,73.53,89,89.8,CALT ,Kerala,CS,N,96,A,88,A,1,Campus Recruitment
,,Smeet,Harshad,Gonnakuti,59.09,72.67,85.06,VTU  ,Maharashtra,,,,,,,,Online
C0930,E0930,Davinder,,Goon,68.71,84.83,82,VTU  ,Maharashtra,CS,N,85,A,77,B+,1,Online
C0931,E0931,Dhaval Kumar,Kishor Bhai,Gopal,55.3,70.67,78.8,BOMU ,Maharashtra,CS,N,75,B+,89,A,1,Online
C0932,,Amey,Abhay,Gopala Krishna Murthy,62.63,76.17,79.46,BOMU ,Maharashtra,CS,N,,,,,,Referral
C0933,,Rahul,Sunil,Gopalakrishnan,60.77,76.67,81,BOMU ,Maharashtra,CS,N,,,,,,Online
C0934,,Nitin,Sridhar,Gopalakrishnan,57.11,82,85.2,VTU  ,Maharashtra,CS,N,,,,,,Referral
C0935,E0935,Shruti,Suresh,Gopalkrishna,66.94,82,89.46,BOMU ,Maharashtra,CS,N,81,A,90,A,1,Campus Recruitment
,,Nirav,Kishor,Gopaluni,55.94,82.83,78.26,BOMU ,Maharashtra,,,,,,,,Referral
,,Kunal,Bankim,Gopani,57.04,71.67,73.33,BOMU ,Maharashtra,,,,,,,,Online
,,Anupa,Ashok,Goparaju,59.01,75.33,86,VTU  ,Maharashtra,,,,,,,,Online
C0939,E0939,Vishal,Mahendra,Gopinath,59.8,78.33,83.73,VTU  ,Maharashtra,CS,N,81,A,80,A,1,Referral
C0940,E0940,Shashidhar,Shankar,Gopinathan,60.37,80.5,86.26,BOMU ,Maharashtra,CS,N,88,A,90,A,1,Campus Recruitment
,,Angita,Anand,Gor,62.39,73.67,84.53,BOMU ,Maharashtra,,,,,,,,Referral
,,Pankaj,Shantilal,Gorawala,62.34,78,85.33,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
,,Rohit,Ramesh Chandra,Gorugantu,55.66,76.33,84.13,BOMU ,Maharashtra,,,,,,,,Online
C0944,,Kavan,Shashikant,Gosala,62.98,78.8,86.86,ANU  ,Maharashtra,CS,N,,,,,,Walk in Interviews
,,Sarasvathi,Kannusamy,Goswami,70.65,87.25,78.82,ANU  ,Tamil Nadu,,,,,,,,Referral
C0946,E0946,Pushparaj,,Gottimukkala,74.8,73,81.4,BHRU ,Tamil Nadu,NCS,N,95,A,83,A,1,Campus Recruitment
C0947,,Nachiket,Raghunath,Gouniwari,72.08,69.17,64.4,GULBU,Karnataka,NCS,N,,,,,,Referral
C0948,,Hitesh,Prakash,Gourishetty,60.9,80,82.4,BOMU ,Maharashtra,CS,N,,,,,,Campus Recruitment
,,Gautam,Naresh,Govardhanan,60.25,75,75,BOMU ,Maharashtra,,,,,,,,Online
C0950,E0950,Tusshar,Ashok,Govindappa,57.64,82.5,88,BOMU ,Maharashtra,CS,N,77,B+,80,A,1,Campus Recruitment
C0951,E0951,Prateep,Satish,Govindaraj,67.42,86.67,88.67,BOMU ,Maharashtra,CS,N,60,C,63,C,0,Referral
C0952,E0952,Ashish,,Govindaraj,61.11,88.67,88.53,BOMU ,Maharashtra,CS,N,95,A,82,A,1,Referral
,,Vinod,Prakash,Govindarajan,61.2,75,85.33,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
C0954,,Nushafreen,Dara,Govindarajan,75.22,89.83,93,BOMU ,Maharashtra,CS,N,,,,,,Online
C0955,E0955,Ruchika,Rajkumar,Gowda,71.8,87.6,94,BOMU ,Maharashtra,CS,N,60,C,63,C,0,Campus Recruitment
C0956,E0956,Gunjan,Balraj,Gowda,64.08,84.16,87.46,BOMU ,Maharashtra,CS,N,60,C,63,C,0,Referral
,,Arihant,Mohit,Gowda,59.1,86,83.03,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
C0958,E0958,Chinmay,Meghashyam,Goyal,55.87,83,78.53,BOMU ,Maharashtra,CS,N,89,A,84,A,1,Campus Recruitment
,,Sonal,Uttamchand,Goyal,65.24,84,89.33,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
,,Deepak,Manohar,Goyal,58.91,74.17,80.5,BOMU ,Maharashtra,,,,,,,,Referral
C0961,E0961,Tejas,Padmanabh,Goyal,66.38,82.33,86.4,BOMU ,Maharashtra,CS,N,60,C,63,C,0,Campus Recruitment
,,Hrithika,Subhash,Goyal,67.37,86,88.83,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
,,Sunny,Suresh,Goyal,56.43,85.67,85.06,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
,,Aditi,Umanath,Goyal,73.88,90.3,88.8,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
C0965,E0965,Pooja,Deepak,Goyal,69.64,86.5,87.46,BOMU ,Maharashtra,CS,N,60,C,63,C,0,Campus Recruitment
,,Rushabh,Surendra,Goyal,63.71,86.17,73.06,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
C0967,E0967,Swapna,Nandkumar,Goyal,71.32,83.67,92.66,BOMU ,Maharashtra,CS,N,93,A,87,A,1,Campus Recruitment
C0968,,Tanmayee,Sudhir,Goyal,66.2,83.67,0,BOMU ,Maharashtra,CS,N,,,,,,Online
C0969,E0969,Arun,,Goyal,55.57,87.33,82.8,BOMU ,Maharashtra,CS,N,74,B+,0,C,0,Online
C0970,E0970,Vikram Singh,Subhash Singh,Goyal,64.4,80.67,84.93,BOMU ,Maharashtra,CS,N,93,A,75,B+,1,Online
C0971,E0971,Stuti,Narendra Nath,Goyal,62.76,85.67,86.13,BOMU ,Maharashtra,CS,N,60,C,63,C,0,Referral
C0972,E0972,Sandeep,Rambachan,Goyal,71.88,83.83,86.66,BOMU ,Maharashtra,CS,N,89,A,93,A,1,Online
C0973,E0973,Sandhya,Ashok,Goyal,69.12,86.5,84.14,BOMU ,Maharashtra,CS,N,60,C,63,C,0,Referral
C0974,,Harsh,Jayesh,Grandhi,63.74,86.33,84,BOMU ,Maharashtra,CS,N,,,,,,Referral
,,Sachin,Shivdatt,Grandhi,68.94,85.83,90,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
C0976,E0976,Noorie,,Gregory,55.63,86.83,84.93,BOMU ,Maharashtra,CS,N,86,A,91,A,1,Online
C0977,,Paras,Suresh,Grover,56.46,86,82.83,BOMU ,Maharashtra,CS,N,,,,,,Campus Recruitment
C0978,E0978,Nikhil,Gopal,Gudipati,69.88,90.33,83.33,BOMU ,Maharashtra,CS,N,97,A,85,A,1,Referral
C0979,,Kiran,Keshav,Guduru,55.25,75.17,83.6,BOMU ,Maharashtra,CS,N,,,,,,Campus Recruitment
C0980,,Rishi,Bhadresh,Guhagarkar,57.76,76.83,87.17,BOMU ,Maharashtra,CS,N,,,,,,Campus Recruitment
,,Neethu,Varghese,Gujarathi,64.54,87.4,88.4,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
C0982,E0982,Nikunj,Narendra,Gulati,60.69,81.5,82.93,BOMU ,Maharashtra,CS,N,82,A,74,B+,1,Referral
,,Sapan,Nandkishoreji,Gulati,65.15,78.8,84.8,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
,,Abhijit,Arvind,Gulati,59.05,81.83,88.83,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
C0985,E0985,Amruta,Vilas,Gulati,63,81.67,86.66,BOMU ,Maharashtra,CS,N,77,B+,85,A,1,Walk in Interviews
,,Manish,,Gulhar,63.6,86,93.4,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
,,Nitin,Louis,Gumbhir,65.82,93.67,88.53,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
C0988,E0988,Amit,Dilip,Gunamony,55.31,83,75.6,BOMU ,Maharashtra,CS,N,91,A,94,A,1,Walk in Interviews
C0989,E0989,Mansi,Vinod,Gunaseelan,59.39,77.33,79.46,BOMU ,Maharashtra,CS,N,88,A,87,A,1,Campus Recruitment
C0990,E0990,Tejaswini,Vinayak,Gunasekaran,64.37,77.17,85.6,BOMU ,Maharashtra,CS,N,84,A,98,A,1,Campus Recruitment
C0991,E0991,Vishal,Yatin,Gunasekaran,66.71,87.83,85.6,BOMU ,Maharashtra,CS,N,92,A,84,A,1,Online
C0992,E0992,Ankit,Dilip,Gundawar,59.64,72.17,75.06,BOMU ,Maharashtra,CS,N,88,A,73,B+,1,Online
C0993,E0993,Riddhi,Bharat,Gundmi,58.01,61.33,78.26,BOMU ,Maharashtra,CS,N,91,A,85,A,1,Referral
C0994,E0994,Chippy,Maria,Gupta,63,83,87.73,BOMU ,Maharashtra,CS,N,60,C,63,C,0,Online
,,Natasha,Marina,Gupta,61.75,74.83,77.33,BOMU ,Maharashtra,,,,,,,,Referral
C0996,E0996,Prinson,Marian,Gupta,63.5,81.67,86.5,BOMU ,Maharashtra,CS,N,84,A,86,A,1,Online
C0997,E0997,Hiren,Devayat,Gupta,55.25,64.33,78.8,BOMU ,Maharashtra,CS,N,89,A,82,A,1,Referral
C0998,E0998,Sheldon,Joshua,Gupta,60.89,71.5,82.13,BOMU ,Maharashtra,CS,N,93,A,92,A,1,Online
,,Melita,Elfreda,Gupta,58.18,77.83,84,BOMU ,Maharashtra,,,,,,,,Online
C1000,,Sonal,Shashikant,Gupta,59.23,72.33,84.93,BOMU ,Maharashtra,CS,N,,,,,,Referral
,,Petcy,Fredrick,Gupta,60.28,71.67,82,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
C1002,,Yatin,Naresh,Gupta,57.5,76.67,82.4,BOMU ,Maharashtra,CS,N,,,,,,Referral
C1003,,Brinal,Roque,Gupta,64.57,84.5,88.93,BOMU ,Maharashtra,CS,N,,,,,,Campus Recruitment
C1004,E1004,Cyril,Kirit,Gupta,57.29,81.33,74.27,BOMU ,Maharashtra,CS,N,96,A,82,A,1,Online
,,Josephine,Walter,Gupta,57.58,70.83,85.2,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
C1006,E1006,Jane,Maria,Gupta,69.29,85.33,86.66,BOMU ,Maharashtra,CS,N,97,A,93,A,1,Referral
C1007,E1007,Joanita,Emilia,Gupta,61.14,84.33,81.46,BOMU ,Maharashtra,CS,N,88,A,81,A,1,Campus Recruitment
,,Onkar,Prakash,Gupta,61.78,81.5,83.46,BOMU ,Maharashtra,,,,,,,,Referral
C1009,,Neil,Frank,Gupta,57.9,74.83,83.2,BOMU ,Maharashtra,CS,N,,,,,,Campus Recruitment
C1010,E1010,Mihir,Bhupat,Gupta,57.38,76,77.6,BOMU ,Maharashtra,CS,N,94,A,87,A,1,Campus Recruitment
,,Megan,Norman,Gupta,58.54,83.42,86.07,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
,,Rahul,Vishnu,Gupta,60.4,75.5,85.86,BOMU ,Maharashtra,,,,,,,,Referral
,,Lawrence,Francis,Gupta,64.94,79,84.53,BOMU ,Maharashtra,,,,,,,,Referral
C1014,E1014,Pratik,Jagannath,Gupta,58.1,73.67,87.86,BOMU ,Maharashtra,CS,N,94,A,83,A,1,Walk in Interviews
C1015,E1015,Kevin,Richard,Gupta,57.61,74.33,77.2,BOMU ,Maharashtra,CS,N,85,A,86,A,1,Online
,,Abhijit,Deepak,Gupta,56.1,67,72,BOMU ,Maharashtra,,,,,,,,Campus Recruitment
C1017,,Stefina,Patrick,Gupta,61.46,68.16,83.46,BOMU ,Maharashtra,CS,N,,,,,,Referral
C1018,E1018,Vineet,Anthony,Gupta,59.48,69.67,72.4,BOMU ,Maharashtra,CS,N,94,A,77,B+,1,Campus Recruitment
C1019,E1019,Nigel,Jude,Gupta,61.09,82.17,75.86,BOMU ,Maharashtra,CS,N,89,A,82,A,1,Campus Recruitment
C1020,,Sonia,Vijay,Gupta,57.52,78.2,84.6,PUNEU,Maharashtra,CS,N,,,,,,Campus Recruitment
C1021,E1021,Gauri,Arun,Gupta,71.2,85.33,85.86,PUNEU,Maharashtra,CS,N,92,A,91,A,1,Referral
C1022,E1022,Srashti,,Gupta,59.66,78.4,82.2,PUNEU,Maharashtra,CS,N,85,A,66,B,1,Campus Recruitment
C1023,E1023,Janhavi,Jagat,Gupta,66.5,81.83,87.33,PUNEU,Maharashtra,CS,N,91,A,81,A,1,Walk in Interviews
,,Rekha,Brijmohan,Gupta,55.86,93.5,86.4,BOMU ,Maharashtra,,,,,,,,Walk in Interviews
,,Tanushree,,Gupta,60.19,82.8,92.8,PUNEU,Maharashtra,,,,,,,,Walk in Interviews
C1026,,Susheela,Suryanarayan,Gupta,61.24,89.33,93.6,PUNEU,Maharashtra,CS,N,,,,,,Campus Recruitment
C1027,,Mukta,Moreshwar,Gupta,66.42,78.67,89.46,BOMU ,Maharashtra,CS,N,,,,,,Walk in Interviews
C1028,E1028,Udita,Arun,Gupta,58.59,77,85.2,PUNEU,Maharashtra,CS,N,82,A,78,B+,1,Campus Recruitment
C1029,E1029,Sneha,Ramdas,Gupta,57.43,83.33,79.6,PUNEU,Maharashtra,CS,N,89,A,87,A,1,Online
C1030,E1030,Pallavi,Ravindra,Gupta,67.38,89.17,88.26,PUNEU,Maharashtra,CS,N,92,A,87,A,1,Online
,,Rajeshree,Shriprakash,Gupta,57.6,82.67,86.13,PUNEU,Maharashtra,,,,,,,,Online
C1032,E1032,Gaurav,Deepak,Gupta,56.54,79.67,82.8,PUNEU,Maharashtra,CS,N,89,A,87,A,1,Referral
,,Tejas,Ulhas,Gupta,65.58,85,90,PUNEU,Maharashtra,,,,,,,,Online
C1034,,Namrata,Satyapal,Gupta,61.89,88.6,92.6,PUNEU,Maharashtra,CS,N,,,,,,Referral
C1035,E1035,Tejas,Keshao,Gupta,63.3,89.83,84.13,PUNEU,Maharashtra,CS,N,95,A,91,A,1,Online
C1036,E1036,Sagar,Vitthal,Gupta,62.84,86,90.93,PUNEU,Maharashtra,CS,N,90,A,83,A,1,Referral
C1037,E1037,Sashidhar,,Gupta,56.56,84.33,91,PUNEU,Maharashtra,CS,N,91,A,90,A,1,Online
C1038,,Rachana,Rajendra,Gupta,58.2,82.83,82.93,PUNEU,Maharashtra,CS,N,,,,,,Online
C1039,E1039,Pratik,Pravin,Gupta,60.13,84.13,87.6,PUNEU,Maharashtra,CS,N,93,A,84,A,1,Referral
,,Amey,Hemant,Gupta,58.5,79.5,81.73,PUNEU,Maharashtra,,,,,,,,Campus Recruitment
,,Anagha,Ashok,Gupta,59.8,81,89.33,PUNEU,Maharashtra,,,,,,,,Referral
C1042,E1042,Gautam,Reddy,Gupta,58.7,80.3,88.6,PUNEU,Maharashtra,CS,N,96,A,81,A,1,Campus Recruitment
C1043,E1043,Rushikesh,Raghuraj,Gupta,56.5,87.5,83.86,PUNEU,Maharashtra,CS,N,86,A,92,A,1,Online
C1044,E1044,Sanket,Bharat,Gupta,58.3,88.33,88.4,PUNEU,Maharashtra,CS,N,60,C,63,C,0,Walk in Interviews
,,Saurabh,Pralhad,Gupta,62.37,78,80.66,PUNEU,Maharashtra,,,,,,,,Referral
,,Swapnil,Hemant,Gupta,58.06,69,76.66,PUNEU,Maharashtra,,,,,,,,Campus Recruitment
C1047,E1047,Sneha,Prabhu Kiran,Gupta,56.31,81.5,84.4,PUNEU,Maharashtra,CS,N,86,A,82,A,1,Campus Recruitment
C1048,,Sarvesh,,Gupta,57,74.2,81.2,PUNEU,Maharashtra,CS,N,,,,,,Campus Recruitment
,,Sumit,Kumar,Gupta,61.52,70.8,60.4,PUNEU,Maharashtra,,,,,,,,Online
